,TP9,AF7,AF8,TP10
0,-36.621,-43.945,-33.691,-29.297
1,-32.227,-43.457,-37.109,-7.812
2,-45.898,-39.062,-33.203,-26.855
3,-48.828,-33.203,-22.461,-44.922
4,-29.785,-33.691,-22.461,-27.832
5,-18.555,-35.156,-25.391,-5.859
6,-33.691,-38.086,-25.391,-26.367
7,-43.457,-37.598,-25.879,-43.457
8,-27.344,-34.18,-24.902,-22.461
9,-7.324,-35.645,-26.855,-3.418
10,-9.766,-34.18,-26.855,-3.906
11,-34.668,-37.598,-26.367,-30.273
12,-40.039,-41.992,-29.297,-33.691
13,-22.949,-33.691,-31.25,-16.113
14,-22.949,-30.762,-30.273,-17.09
15,-47.852,-34.18,-32.715,-47.852
16,-53.711,-33.691,-36.133,-63.477
17,-36.621,-38.574,-38.574,-41.016
18,-24.902,-39.062,-40.039,-23.438
19,-39.062,-37.598,-37.598,-39.551
20,-48.828,-35.645,-33.203,-54.688
21,-32.715,-30.273,-34.668,-40.039
22,-16.602,-30.273,-32.715,-11.23
23,-27.344,-26.855,-27.832,-14.16
24,-44.434,-23.926,-24.414,-36.133
25,-42.48,-30.762,-25.879,-36.133
26,-33.203,-36.133,-28.32,-17.09
27,-38.574,-37.109,-27.832,-8.789
28,-60.547,-38.574,-28.32,-30.273
29,-63.477,-41.016,-30.273,-41.504
30,-45.898,-41.016,-32.715,-20.508
31,-39.551,-43.457,-35.156,-5.859
32,-54.688,-46.875,-37.109,-37.109
33,-55.664,-40.039,-31.25,-50.293
34,-39.062,-36.133,-26.855,-33.691
35,-28.809,-36.133,-28.32,-20.508
36,-37.109,-38.574,-30.762,-39.062
37,-48.828,-36.133,-33.203,-58.105
38,-35.645,-32.227,-33.203,-41.016
39,-17.578,-33.691,-30.762,-15.625
40,-25.391,-30.762,-29.297,-24.414
41,-38.574,-29.785,-34.668,-52.246
42,-31.738,-30.762,-35.156,-38.086
43,-16.602,-26.367,-31.738,-7.812
44,-16.113,-23.926,-30.273,-14.16
45,-35.645,-23.926,-31.25,-41.504
46,-38.086,-21.973,-34.668,-46.387
47,-13.672,-18.066,-34.668,-24.902
48,4.395,-20.02,-34.668,-10.254
49,-17.09,-25.879,-35.156,-38.086
50,-32.227,-26.855,-32.715,-53.711
51,-18.066,-25.391,-29.297,-31.25
52,-6.836,-26.855,-27.832,-12.695
53,-16.602,-30.273,-24.902,-22.949
54,-28.809,-33.203,-26.367,-40.039
55,-20.02,-32.227,-28.809,-34.18
56,-2.93,-32.227,-28.32,-16.602
57,-8.789,-26.855,-27.832,-23.438
58,-33.203,-26.367,-27.832,-52.246
59,-30.762,-29.297,-25.879,-52.734
60,-13.184,-33.691,-26.367,-32.715
61,-16.602,-32.715,-29.785,-22.949
62,-33.203,-24.902,-26.855,-41.504
63,-31.738,-27.344,-26.367,-52.734
64,-11.23,-31.25,-31.738,-31.25
65,-4.395,-32.227,-33.691,-11.23
66,-26.855,-32.715,-31.738,-29.785
67,-38.086,-32.715,-31.738,-45.41
68,-31.25,-35.645,-30.762,-32.227
69,-18.555,-33.691,-30.273,-8.789
70,-25.879,-28.32,-34.18,-24.902
71,-43.457,-26.367,-34.668,-45.898
72,-30.273,-27.344,-31.25,-28.32
73,-14.648,-33.203,-30.273,-11.719
74,-24.902,-33.691,-32.715,-24.414
75,-36.621,-31.25,-30.762,-42.48
76,-28.32,-29.785,-31.738,-38.574
77,-9.277,-27.832,-31.738,-18.066
78,-8.301,-26.367,-28.809,-5.859
79,-29.297,-25.391,-29.297,-31.25
80,-30.762,-25.391,-26.855,-43.457
81,-16.113,-25.391,-28.32,-27.344
82,-7.324,-28.32,-29.297,-17.09
83,-24.414,-28.32,-27.832,-36.133
84,-39.062,-27.832,-31.25,-55.176
85,-26.855,-27.832,-34.18,-43.457
86,-12.207,-29.785,-32.715,-16.113
87,-27.832,-29.297,-32.227,-26.855
88,-42.969,-27.832,-26.367,-47.852
89,-30.273,-33.203,-23.438,-38.574
90,-25.879,-37.598,-27.832,-33.203
91,-38.086,-33.691,-29.297,-40.039
92,-65.43,-36.621,-27.344,-66.406
93,-82.031,-44.922,-31.738,-83.496
94,-80.078,-45.41,-38.574,-81.543
95,-91.309,-48.34,-32.715,-87.891
96,-118.652,-54.199,-27.832,-115.234
97,-145.508,-56.152,-27.344,-145.508
98,-163.574,-64.453,-32.227,-168.457
99,-169.434,-67.871,-33.691,-173.828
100,-196.289,-69.824,-30.273,-202.148
101,-222.656,-69.824,-29.785,-235.352
102,-234.863,-71.777,-29.785,-245.117
103,-231.445,-75.195,-36.621,-221.68
104,-227.539,-76.66,-41.504,-212.402
105,-238.281,-73.242,-38.574,-236.816
106,-226.074,-72.754,-36.621,-220.215
107,-199.707,-71.289,-34.668,-183.105
108,-192.383,-65.43,-32.715,-171.875
109,-199.707,-61.035,-35.156,-187.012
110,-187.012,-56.152,-36.621,-176.27
111,-164.062,-58.594,-34.18,-144.531
112,-149.414,-60.547,-39.062,-122.559
113,-140.137,-53.711,-37.598,-119.629
114,-125.977,-45.898,-30.762,-114.746
115,-94.238,-41.992,-29.297,-76.66
116,-64.941,-34.18,-29.297,-39.062
117,-73.73,-33.203,-21.484,-47.852
118,-74.707,-36.621,-13.184,-52.734
119,-45.41,-37.598,-14.16,-29.785
120,-16.113,-37.109,-20.508,1.953
121,-12.695,-32.715,-30.273,2.441
122,-21.973,-32.227,-34.18,-14.16
123,-11.719,-35.156,-30.762,-4.395
124,4.395,-35.156,-28.809,16.602
125,15.625,-28.809,-30.273,32.715
126,9.766,-22.949,-34.668,17.578
127,13.672,-12.207,-35.645,10.254
128,41.016,-9.277,-32.227,38.574
129,45.41,-19.043,-36.133,51.758
130,24.414,-24.414,-41.992,28.32
131,27.344,-18.555,-39.551,22.949
132,47.363,-17.09,-37.109,43.945
133,59.57,-20.02,-36.621,65.43
134,58.594,-20.508,-32.715,60.059
135,47.363,-19.043,-32.715,36.133
136,55.176,-17.09,-33.691,42.969
137,74.707,-18.066,-34.18,74.219
138,67.383,-18.555,-32.227,73.242
139,44.434,-19.531,-30.762,40.039
140,45.898,-19.531,-31.738,37.109
141,60.059,-16.113,-32.715,58.105
142,53.711,-20.02,-37.598,59.57
143,37.598,-20.996,-37.598,29.297
144,30.762,-18.555,-36.133,17.578
145,47.852,-19.531,-32.227,38.086
146,60.059,-18.066,-32.715,46.387
147,35.645,-18.555,-39.062,20.508
148,17.09,-18.555,-38.574,5.859
149,21.484,-19.531,-34.668,33.691
150,30.273,-20.508,-28.32,61.523
151,19.531,-21.973,-25.391,39.551
152,-1.465,-27.344,-30.273,5.371
153,-0.488,-30.273,-35.645,10.254
154,17.09,-26.367,-33.691,27.344
155,22.949,-25.879,-33.203,24.414
156,7.324,-28.32,-34.668,6.836
157,5.371,-25.879,-30.273,5.859
158,22.461,-21.973,-28.809,22.461
159,29.785,-24.902,-32.227,27.832
160,11.23,-29.297,-30.762,4.883
161,-2.441,-26.367,-33.691,-12.695
162,11.719,-22.949,-34.18,1.465
163,26.367,-20.508,-31.25,24.902
164,9.277,-20.996,-32.227,11.23
165,-1.465,-22.949,-34.18,-5.859
166,18.066,-19.531,-29.785,8.301
167,32.715,-23.438,-26.367,23.438
168,13.672,-29.785,-31.25,2.441
169,-12.695,-30.273,-36.621,-28.809
170,-7.324,-29.297,-37.109,-20.508
171,8.301,-29.297,-33.203,1.465
172,3.418,-27.832,-29.785,1.953
173,-12.695,-28.32,-32.715,-23.926
174,-15.625,-30.762,-32.715,-25.391
175,-1.953,-30.762,-30.762,-2.441
176,7.812,-25.391,-31.25,9.766
177,-9.277,-23.926,-30.762,-14.648
178,-20.02,-30.273,-28.809,-24.414
179,-6.348,-36.621,-22.949,-0.977
180,-7.812,-31.25,-29.297,1.465
181,-34.668,-26.367,-38.086,-29.785
182,-54.688,-33.691,-36.133,-52.734
183,-48.828,-37.598,-36.133,-50.293
184,-44.434,-38.086,-35.645,-37.109
185,-49.316,-34.18,-37.109,-39.062
186,-64.941,-30.273,-40.039,-74.707
187,-66.895,-33.691,-36.621,-78.125
188,-49.316,-34.18,-32.227,-46.875
189,-41.992,-33.203,-34.668,-40.039
190,-51.758,-38.574,-39.062,-60.547
191,-51.27,-41.504,-42.48,-62.988
192,-25.879,-41.016,-40.039,-33.203
193,-10.254,-41.016,-37.598,-13.184
194,-21.973,-40.039,-39.551,-33.203
195,-31.738,-37.598,-40.039,-42.48
196,-17.578,-34.18,-35.645,-21.973
197,-3.418,-38.574,-34.668,-4.883
198,-20.508,-44.434,-40.527,-24.902
199,-38.086,-43.945,-37.109,-45.41
200,-27.832,-41.016,-33.203,-28.809
201,-10.254,-37.109,-33.203,-3.906
202,-14.16,-35.156,-34.18,-9.277
203,-37.598,-37.109,-37.109,-37.109
204,-37.109,-37.109,-33.691,-35.645
205,-13.672,-35.645,-27.832,-12.207
206,-17.09,-36.133,-32.227,-9.277
207,-34.668,-34.668,-31.25,-33.691
208,-33.691,-39.551,-27.344,-41.016
209,-17.09,-42.969,-31.25,-20.508
210,-4.395,-35.645,-30.762,-3.418
211,-20.508,-30.273,-29.297,-24.414
212,-33.691,-31.738,-30.762,-43.457
213,-20.02,-32.227,-29.297,-25.391
214,-6.836,-31.738,-26.367,-5.371
215,-17.09,-31.738,-28.32,-20.508
216,-36.133,-31.738,-31.25,-43.945
217,-31.25,-30.762,-32.715,-36.133
218,-13.672,-30.762,-34.668,-13.672
219,-14.648,-31.25,-34.18,-16.113
220,-32.227,-30.273,-37.598,-42.48
221,-27.832,-29.785,-39.062,-38.086
222,-9.766,-27.832,-35.645,-12.207
223,-15.625,-26.855,-34.668,-18.555
224,-33.691,-26.855,-32.227,-47.852
225,-34.18,-27.344,-31.738,-49.805
226,-29.297,-31.25,-28.32,-35.645
227,-27.344,-34.668,-29.297,-21.484
228,-37.598,-32.227,-33.691,-35.645
229,-47.363,-36.621,-37.109,-62.5
230,-31.25,-37.598,-33.691,-44.434
231,-13.184,-32.227,-32.227,-14.16
232,-22.949,-29.297,-34.18,-26.855
233,-37.598,-25.391,-33.691,-52.246
234,-29.785,-26.855,-32.227,-41.504
235,-13.184,-27.344,-30.762,-13.184
236,-17.09,-28.809,-33.203,-12.695
237,-35.645,-26.855,-29.785,-38.086
238,-34.18,-24.902,-30.273,-44.922
239,-17.578,-25.391,-31.25,-22.949
240,-8.301,-28.809,-28.32,-6.348
241,-23.438,-26.855,-28.32,-26.367
242,-35.156,-20.996,-27.832,-42.48
243,-21.973,-24.414,-30.762,-27.832
244,-8.301,-26.367,-32.227,-9.277
245,-21.973,-24.414,-33.691,-22.949
246,-32.227,-22.461,-34.18,-34.18
247,-21.973,-22.461,-32.715,-19.043
248,-5.859,-24.414,-30.273,0.0
249,-13.672,-27.344,-31.738,-7.812
250,-30.762,-26.367,-34.18,-32.715
251,-29.297,-26.367,-38.086,-33.691
252,-14.648,-28.32,-34.668,-15.625
253,-16.113,-26.855,-33.691,-13.184
254,-41.504,-29.785,-34.668,-43.945
