,TP9,AF7,AF8,TP10
0,21.484,-19.043,-34.18,-0.488
1,24.902,-23.438,-35.156,5.859
2,30.273,-29.297,-39.062,13.672
3,30.762,-28.809,-43.457,14.648
4,21.973,-23.926,-38.086,15.137
5,25.391,-24.414,-34.668,18.555
6,34.18,-26.855,-39.551,28.809
7,34.668,-25.879,-42.48,30.273
8,25.879,-26.367,-41.504,20.508
9,25.391,-25.879,-38.574,15.137
10,33.691,-21.973,-38.086,17.578
11,36.133,-19.531,-38.086,23.438
12,36.133,-19.531,-38.086,23.438
13,26.367,-19.043,-33.203,18.555
14,16.602,-20.02,-34.668,21.973
15,19.531,-23.438,-37.598,27.344
16,28.32,-22.949,-38.574,20.508
17,23.438,-19.043,-40.527,13.672
18,15.625,-17.578,-40.039,12.207
19,23.926,-18.066,-39.062,6.836
20,32.715,-17.09,-38.574,-1.465
21,27.832,-25.879,-37.598,0.0
22,9.277,-28.809,-35.156,3.418
23,-0.488,-25.879,-31.25,9.766
24,1.465,-28.809,-31.738,9.766
25,2.441,-25.391,-37.109,6.836
26,-0.977,-22.949,-40.039,-1.465
27,2.441,-21.973,-40.039,-10.254
28,9.766,-21.484,-40.039,-5.859
29,7.324,-25.391,-44.922,-5.859
30,-4.883,-27.344,-43.945,-7.812
31,-10.742,-24.414,-40.039,-6.348
32,-3.418,-20.996,-36.133,-3.418
33,0.0,-20.02,-32.715,-0.977
34,-4.395,-20.996,-30.762,5.859
35,-10.742,-22.949,-32.227,0.0
36,-11.23,-27.344,-35.156,-4.395
37,-7.812,-26.367,-35.645,1.465
38,-7.812,-24.414,-34.18,0.977
39,-12.695,-22.461,-33.691,-5.371
40,-17.578,-22.461,-36.133,-12.695
41,-12.207,-23.438,-38.574,-10.742
42,-7.812,-20.996,-43.945,-7.812
43,-9.277,-21.973,-41.504,-5.859
44,-16.113,-29.297,-39.062,-12.207
45,-14.16,-27.344,-34.18,-10.742
46,-8.789,-20.508,-29.297,-5.859
47,-18.555,-23.438,-30.273,-17.578
48,-17.09,-28.32,-29.785,-19.531
49,-4.395,-23.926,-31.738,-11.719
50,-4.883,-21.973,-31.25,-7.324
51,-13.672,-26.855,-31.738,-13.184
52,-17.578,-26.855,-34.18,-16.113
53,-16.602,-21.973,-31.738,-15.137
54,-11.23,-23.438,-30.762,-14.648
55,-11.719,-22.949,-29.785,-15.137
56,-19.531,-19.531,-29.785,-18.066
57,-21.484,-23.438,-37.598,-20.02
58,-9.766,-22.949,-32.227,-14.648
59,-10.742,-18.555,-28.32,-11.719
60,-27.832,-23.926,-30.273,-22.461
61,-35.156,-31.738,-29.297,-29.785
62,-28.809,-33.203,-31.738,-27.344
63,-15.137,-27.832,-31.738,-27.832
64,-21.973,-25.879,-32.715,-30.762
65,-31.738,-23.926,-29.785,-24.902
66,-25.879,-25.879,-31.738,-25.879
67,-19.531,-25.391,-37.109,-27.832
68,-21.484,-24.902,-38.086,-25.879
69,-29.297,-29.297,-35.645,-26.855
70,-22.949,-26.855,-29.297,-21.484
71,-16.602,-25.391,-29.785,-26.367
72,-20.508,-30.273,-33.691,-36.621
73,-33.203,-30.762,-38.086,-36.133
74,-37.598,-27.832,-36.621,-36.621
75,-25.391,-24.902,-36.621,-30.762
76,-21.973,-24.902,-37.109,-24.414
77,-33.203,-22.949,-33.691,-33.203
78,-34.18,-20.508,-32.715,-33.691
79,-29.297,-25.391,-33.691,-34.668
80,-26.367,-26.367,-33.691,-31.25
81,-30.762,-29.297,-33.203,-27.344
82,-34.18,-28.809,-35.156,-32.715
83,-30.273,-28.32,-39.062,-35.156
84,-22.949,-31.25,-42.969,-38.086
85,-28.809,-28.809,-43.945,-48.828
86,-33.203,-26.367,-41.504,-45.898
87,-29.297,-27.344,-38.574,-38.574
88,-24.414,-27.344,-34.18,-33.203
89,-21.484,-25.391,-30.762,-24.414
90,-38.086,-31.25,-33.691,-31.25
91,-42.48,-33.691,-35.645,-34.18
92,-32.227,-31.738,-34.18,-25.391
93,-32.715,-31.25,-31.25,-22.949
94,-36.621,-25.391,-30.762,-31.25
95,-33.203,-23.438,-33.203,-31.738
96,-29.785,-24.902,-32.715,-28.809
97,-21.973,-24.414,-31.25,-23.926
98,-28.809,-20.996,-28.32,-23.438
99,-36.621,-19.043,-24.414,-29.297
100,-27.344,-19.043,-23.438,-27.344
101,-19.043,-21.484,-27.344,-24.414
102,-20.996,-21.484,-29.297,-24.902
103,-31.738,-20.996,-32.227,-24.902
104,-32.227,-20.02,-37.598,-25.879
105,-22.461,-20.508,-32.715,-25.879
106,-18.066,-20.02,-32.715,-18.066
107,-18.555,-15.137,-36.621,-15.625
108,-22.949,-13.672,-36.621,-21.484
109,-17.09,-20.508,-35.156,-24.902
110,-16.602,-23.438,-35.156,-23.438
111,-32.227,-22.461,-33.203,-22.949
112,-35.156,-22.949,-28.809,-29.785
113,-30.273,-21.484,-33.203,-39.551
114,-24.414,-20.508,-35.156,-32.227
115,-26.855,-20.508,-33.691,-29.297
116,-38.086,-22.461,-32.227,-39.062
117,-41.016,-22.949,-35.156,-43.457
118,-36.133,-25.879,-37.109,-37.109
119,-33.691,-27.344,-32.715,-36.621
120,-37.109,-20.996,-28.32,-38.086
121,-36.621,-20.508,-30.762,-37.109
122,-26.367,-25.391,-34.668,-35.156
123,-22.461,-24.902,-35.645,-28.809
124,-24.414,-21.973,-31.738,-29.297
125,-21.484,-16.602,-26.855,-31.738
126,-20.508,-19.043,-26.855,-35.156
127,-22.461,-19.531,-28.32,-30.273
128,-28.809,-19.043,-33.691,-32.715
129,-35.156,-20.996,-33.203,-41.016
130,-28.32,-17.578,-24.902,-34.668
131,-18.555,-20.02,-27.344,-33.203
132,-27.344,-26.367,-35.645,-38.086
133,-37.598,-29.297,-31.738,-33.203
134,-36.621,-29.785,-25.879,-25.391
135,-32.715,-27.344,-28.32,-27.832
136,-25.391,-23.926,-26.367,-29.297
137,-30.762,-28.32,-26.367,-28.809
138,-38.086,-28.32,-31.25,-29.785
139,-33.691,-23.438,-31.25,-28.32
140,-31.25,-26.855,-32.715,-29.785
141,-36.621,-30.762,-32.715,-29.785
142,-38.086,-29.785,-30.762,-27.832
143,-31.25,-28.809,-33.203,-30.273
144,-25.391,-25.391,-33.203,-33.203
145,-32.227,-26.855,-31.738,-38.574
146,-37.598,-27.344,-28.809,-43.457
147,-35.645,-26.855,-29.297,-45.41
148,-32.715,-26.855,-31.25,-42.48
149,-35.156,-26.367,-28.809,-38.574
150,-38.574,-31.25,-26.855,-39.551
151,-35.645,-31.25,-27.832,-39.062
152,-23.926,-28.809,-28.32,-33.691
153,-26.855,-31.25,-27.344,-27.832
154,-38.574,-29.297,-29.785,-35.156
155,-30.273,-21.973,-27.832,-32.227
156,-18.066,-20.508,-23.926,-20.996
157,-17.09,-21.973,-22.949,-21.973
158,-31.738,-21.973,-23.438,-28.32
159,-36.621,-24.902,-25.879,-26.367
160,-33.691,-26.367,-28.32,-23.438
161,-31.738,-29.297,-33.203,-24.902
162,-35.156,-32.715,-35.156,-33.203
163,-45.41,-34.668,-34.18,-39.062
164,-38.574,-32.227,-35.645,-24.902
165,-26.855,-29.785,-33.203,-12.207
166,-24.414,-29.297,-27.344,-13.672
167,-24.902,-28.809,-30.762,-19.043
168,-22.461,-29.785,-33.691,-20.996
169,-17.578,-28.32,-30.273,-19.531
170,-17.578,-26.367,-30.762,-19.531
171,-29.785,-24.902,-33.203,-30.273
172,-29.297,-25.391,-33.691,-33.203
173,-22.461,-28.32,-34.668,-31.25
174,-23.438,-25.879,-35.156,-34.18
175,-31.738,-23.438,-36.621,-35.645
176,-39.551,-24.902,-37.109,-35.645
177,-35.645,-27.344,-37.109,-34.18
178,-29.785,-22.949,-38.574,-33.203
179,-28.809,-24.414,-35.156,-32.227
180,-34.668,-25.391,-31.738,-35.156
181,-38.086,-23.926,-31.738,-31.738
182,-28.809,-23.926,-32.227,-22.949
183,-27.832,-25.391,-34.18,-24.902
184,-38.086,-27.344,-36.621,-32.227
185,-36.133,-25.391,-31.738,-26.855
186,-25.391,-23.438,-30.762,-26.367
187,-26.367,-25.391,-30.273,-25.879
188,-34.18,-27.344,-25.391,-20.508
189,-36.133,-29.297,-27.832,-32.715
190,-33.203,-28.32,-29.785,-31.738
191,-24.414,-23.438,-32.227,-23.926
192,-23.438,-22.949,-34.18,-28.32
193,-28.32,-19.043,-35.645,-31.25
194,-31.25,-20.996,-37.598,-32.227
195,-30.762,-22.461,-36.133,-38.086
196,-23.438,-21.973,-34.668,-38.574
197,-25.391,-25.391,-30.762,-32.715
198,-25.391,-21.973,-29.297,-36.621
199,-14.16,-22.461,-30.762,-29.785
200,-17.578,-23.438,-30.273,-27.832
201,-25.879,-20.02,-26.855,-36.133
202,-28.809,-23.926,-25.879,-27.344
203,-21.973,-25.391,-27.832,-21.484
204,-15.137,-21.484,-27.832,-20.508
205,-23.926,-22.461,-26.855,-23.438
206,-31.25,-25.391,-24.414,-28.809
207,-20.02,-22.461,-25.879,-23.926
208,-8.301,-20.996,-31.738,-19.531
209,-20.508,-24.414,-33.691,-26.855
210,-29.785,-30.273,-29.297,-27.832
211,-24.902,-29.297,-27.344,-22.461
212,-24.902,-29.297,-28.809,-27.832
213,-23.926,-32.227,-25.391,-33.203
214,-29.785,-31.25,-24.414,-34.18
215,-39.551,-29.297,-29.785,-41.504
216,-27.832,-25.879,-33.691,-40.527
217,-26.855,-30.762,-30.762,-30.273
218,-40.527,-31.738,-30.762,-35.156
219,-36.133,-28.809,-32.227,-40.039
220,-25.879,-33.203,-34.18,-34.18
221,-23.926,-32.715,-35.645,-31.25
222,-33.203,-31.25,-32.227,-29.297
223,-38.086,-33.203,-29.297,-25.879
224,-29.785,-30.762,-30.762,-21.484
225,-21.973,-30.762,-35.156,-18.555
226,-27.832,-34.668,-33.691,-22.949
227,-33.203,-33.203,-34.18,-24.902
228,-26.367,-29.297,-33.691,-26.855
229,-18.066,-29.297,-28.809,-15.625
230,-21.973,-27.344,-28.809,-16.113
231,-27.832,-32.227,-29.297,-29.785
232,-20.996,-35.645,-31.738,-30.762
233,-14.648,-29.785,-38.086,-28.809
234,-12.695,-29.297,-42.969,-31.738
235,-20.996,-29.785,-40.039,-36.133
236,-34.18,-25.879,-35.156,-36.621
237,-34.668,-24.902,-35.645,-34.18
238,-35.645,-28.809,-38.086,-32.715
239,-45.898,-30.762,-38.574,-39.062
240,-47.852,-32.227,-37.598,-36.621
241,-41.992,-32.715,-34.18,-33.691
242,-33.691,-30.273,-30.762,-33.691
243,-33.203,-30.762,-26.855,-34.18
244,-39.551,-31.738,-31.25,-32.227
245,-36.621,-32.227,-33.203,-24.902
246,-29.297,-30.762,-26.367,-21.973
247,-26.855,-25.879,-24.902,-21.484
248,-23.926,-21.973,-23.926,-17.578
249,-24.414,-23.926,-20.996,-15.625
250,-19.043,-25.391,-26.367,-15.625
251,-18.066,-21.973,-28.32,-23.926
252,-24.902,-18.555,-24.414,-26.367
253,-29.297,-21.973,-24.902,-22.949
254,-31.738,-27.832,-32.715,-31.25
255,-21.973,-26.367,-37.109,-33.203
256,-22.949,-24.902,-32.715,-29.785
257,-29.297,-22.461,-29.785,-32.715
258,-26.855,-23.438,-31.738,-35.645
259,-22.949,-23.926,-28.809,-41.504
260,-29.297,-21.484,-27.344,-44.922
261,-31.738,-20.508,-26.855,-40.527
262,-32.227,-22.461,-30.273,-39.062
263,-25.391,-26.855,-33.203,-32.715
264,-24.902,-27.832,-29.785,-33.691
265,-37.598,-30.762,-30.273,-38.086
266,-30.762,-27.344,-30.273,-33.691
267,-22.461,-25.879,-28.32,-26.367
268,-20.996,-24.902,-29.785,-26.855
269,-25.879,-24.902,-30.762,-33.691
270,-26.855,-27.832,-30.273,-35.156
271,-21.973,-26.855,-32.227,-36.621
272,-21.484,-28.32,-33.691,-31.738
273,-25.391,-24.414,-31.25,-30.273
274,-29.785,-18.066,-28.32,-34.18
275,-34.18,-21.484,-29.785,-35.156
276,-30.273,-26.855,-30.273,-31.25
277,-24.414,-28.32,-31.25,-28.32
278,-32.715,-28.809,-30.762,-32.227
279,-33.203,-28.32,-29.785,-30.762
280,-28.809,-24.902,-30.273,-25.391
281,-33.203,-27.344,-31.25,-32.715
282,-39.062,-28.32,-31.25,-36.133
283,-41.016,-28.809,-30.273,-32.715
284,-34.18,-27.832,-33.691,-29.297
285,-28.32,-29.297,-34.668,-21.484
286,-24.414,-29.297,-33.203,-21.973
287,-28.809,-29.785,-31.25,-31.25
288,-28.32,-28.809,-29.785,-27.344
289,-23.438,-31.25,-30.273,-20.02
290,-33.203,-32.227,-31.25,-26.367
291,-39.551,-30.762,-32.227,-34.18
292,-32.227,-31.25,-34.18,-30.762
293,-27.832,-27.832,-37.109,-29.785
294,-28.809,-26.855,-29.297,-30.273
295,-34.18,-25.879,-26.855,-25.391
296,-32.227,-27.344,-28.809,-27.344
297,-22.949,-28.809,-27.344,-34.18
298,-26.855,-26.367,-27.832,-33.691
299,-31.738,-29.785,-31.25,-39.551
300,-35.156,-30.762,-31.25,-36.621
301,-34.18,-27.832,-30.762,-29.785
302,-30.762,-30.273,-34.18,-32.715
303,-32.715,-31.25,-36.621,-34.668
304,-39.551,-31.25,-40.039,-38.086
305,-33.203,-32.227,-34.668,-34.668
306,-27.344,-29.297,-36.621,-41.504
307,-32.227,-31.738,-38.574,-39.062
308,-34.18,-30.273,-31.25,-30.273
309,-28.809,-24.902,-30.762,-19.531
310,-22.461,-22.461,-26.367,-32.715
311,-25.391,-18.066,-22.461,-37.109
312,-27.832,-21.484,-25.879,-26.367
313,-23.926,-29.785,-28.809,-30.273
314,-22.949,-28.32,-28.32,-38.574
315,-25.879,-26.367,-29.785,-30.273
316,-36.621,-30.762,-29.297,-15.137
317,-41.016,-35.156,-29.297,-57.617
318,-34.18,-31.738,-41.992,-61.523
319,-32.227,-23.438,-39.551,-16.602
320,-42.969,-24.414,-27.832,-20.508
321,-47.363,-37.598,-40.039,-48.34
322,-34.668,-38.574,-34.18,-7.324
323,-20.508,-34.668,-20.996,24.414
324,-25.391,-33.691,-25.391,-3.906
325,-33.203,-30.762,-23.438,-10.742
326,-28.32,-27.344,-23.438,-18.066
327,-27.832,-24.414,-30.762,-31.738
328,-32.715,-19.531,-32.227,-34.668
329,-49.805,-22.949,-43.457,-60.547
330,-93.262,-24.414,-41.992,-91.797
331,-129.395,-12.695,-32.227,-175.293
332,-81.055,-26.367,-40.039,-150.391
333,-57.129,-20.508,-18.555,-46.875
334,-94.238,-2.93,-30.762,-33.203
335,1.953,-21.484,-30.762,47.852
336,66.895,-29.297,-19.043,78.125
337,41.016,-33.203,-27.832,53.223
338,30.762,-29.785,-30.273,30.273
339,14.16,-25.879,-29.297,12.695
340,9.766,-27.832,-28.809,12.207
341,0.977,-24.902,-32.715,-28.32
342,-118.652,21.484,-11.719,-183.594
343,-282.227,69.824,-19.531,-262.695
344,-323.242,20.508,-28.32,-328.613
345,-170.41,-42.969,-1.953,-227.539
346,-71.777,-25.391,1.465,-35.645
347,-19.043,16.113,-11.23,34.18
