,TP9,AF7,AF8,TP10,Time
0,2.441,-38.574,-39.062,-12.207,0.025999999954365194
1,0.488,-35.645,-40.527,-12.695,0.028999999980442226
2,0.0,-41.504,-44.922,-3.418,0.03300000005401671
3,0.0,-35.645,-38.086,-1.465,0.03700000001117587
4,3.418,-25.391,-32.715,-1.953,0.041000000084750354
5,3.906,-33.691,-36.621,0.977,0.045000000041909516
6,-0.488,-40.527,-33.203,-4.395,0.04899999999906868
7,-7.324,-48.828,-34.18,-13.672,0.05200000002514571
8,-10.254,-52.246,-38.574,-22.461,0.05599999998230487
9,-13.184,-57.129,-41.016,-22.949,0.060000000055879354
10,-20.02,-58.594,-48.34,-23.926,0.06400000001303852
11,-20.508,-47.363,-46.387,-22.949,0.068000000086613
12,-7.812,-47.852,-42.969,-18.555,0.060000000055879354
13,-9.766,-47.852,-40.039,-19.531,0.06400000001303852
14,-16.113,-37.109,-33.691,-19.531,0.068000000086613
15,-20.02,-32.715,-38.086,-19.043,0.07200000004377216
16,-20.508,-44.922,-46.875,-15.137,0.07600000000093132
17,-20.996,-54.688,-55.664,-12.695,0.0800000000745058
18,-20.996,-46.387,-46.875,-14.648,0.08400000003166497
19,-23.926,-47.363,-38.574,-20.508,0.08799999998882413
20,-21.484,-54.688,-42.48,-24.902,0.09100000001490116
21,-19.531,-53.223,-41.016,-25.391,0.09500000008847564
22,-25.391,-55.664,-41.016,-31.738,0.0990000000456348
23,-22.461,-50.293,-43.457,-35.645,0.10100000002421439
24,-14.16,-41.992,-41.992,-27.832,0.10500000009778887
25,-19.531,-41.992,-39.551,-25.879,0.10900000005494803
26,-21.973,-41.504,-41.016,-25.879,0.1130000000121072
27,-19.043,-42.48,-44.922,-24.902,0.11700000008568168
28,-19.531,-48.828,-42.48,-24.414,0.12000000011175871
29,-20.508,-44.922,-40.039,-25.391,0.12400000006891787
30,-26.367,-40.527,-39.062,-29.785,0.12800000002607703
31,-31.25,-51.758,-44.434,-34.18,0.13200000009965152
32,-28.32,-51.27,-48.34,-36.133,0.13600000005681068
33,-25.879,-39.551,-47.852,-35.156,0.14000000001396984
34,-30.273,-39.062,-44.922,-32.227,0.14400000008754432
35,-32.227,-40.527,-49.316,-39.551,0.1460000000661239
36,-29.785,-39.062,-51.27,-42.48,0.15000000002328306
37,-25.391,-39.551,-42.969,-40.527,0.15400000009685755
38,-27.832,-40.527,-42.48,-34.668,0.1580000000540167
39,-26.367,-37.109,-41.504,-28.809,0.16200000001117587
40,-21.973,-42.969,-41.504,-33.691,0.16600000008475035
41,-21.973,-42.969,-39.551,-33.203,0.17000000004190952
42,-23.438,-27.832,-32.227,-25.391,0.17399999999906868
43,-27.832,-29.297,-40.527,-21.484,0.17800000007264316
44,-27.832,-28.809,-41.016,-20.508,0.18200000002980232
45,-18.066,-24.902,-33.691,-16.113,0.18500000005587935
46,-8.789,-27.344,-43.457,-11.23,0.18900000001303852
47,-20.996,-22.949,-53.711,-31.738,0.2070000000530854
48,-40.039,-30.273,-53.223,-48.34,0.21100000001024455
49,-35.156,-32.715,-45.41,-36.621,0.21500000008381903
50,-17.09,-25.391,-40.527,-23.438,0.2190000000409782
51,-13.184,-22.461,-40.039,-19.043,0.22299999999813735
52,-21.484,-25.879,-41.504,-26.855,0.22699999995529652
53,-26.367,-21.973,-41.504,-31.738,0.231000000028871
54,-18.555,-22.949,-42.48,-26.367,0.23499999998603016
55,-20.996,-36.621,-48.828,-19.531,0.23899999994318932
56,-29.785,-35.645,-49.316,-26.367,0.2430000000167638
57,-24.902,-27.344,-39.062,-32.227,0.24600000004284084
58,-19.531,-29.785,-37.598,-24.414,0.25
59,-17.578,-35.645,-40.527,-21.973,0.23699999996460974
60,-16.602,-36.621,-36.621,-19.531,0.24100000003818423
61,-19.531,-37.109,-37.109,-17.578,0.2449999999953434
62,-24.414,-38.574,-41.992,-20.996,0.24899999995250255
63,-19.043,-45.898,-41.992,-20.02,0.25300000002607703
