,TP9,AF7,AF8,TP10
0,-20.996,-37.109,-38.086,-19.043
1,-16.602,-25.391,-37.598,-16.602
2,-20.02,-21.484,-36.621,-16.602
3,-28.809,-34.668,-41.992,-20.02
4,-28.809,-37.109,-38.086,-16.602
5,-27.344,-38.086,-39.551,-18.555
6,-29.297,-39.551,-39.062,-17.578
7,-36.621,-34.668,-34.668,-15.137
8,-47.852,-41.016,-33.203,-24.902
9,-36.133,-42.48,-29.785,-22.949
10,-26.855,-34.668,-29.297,-21.484
11,-47.852,-35.156,-34.668,-34.18
12,-64.453,-40.527,-39.551,-46.875
13,-52.734,-40.527,-37.109,-44.922
14,-36.621,-32.227,-29.785,-36.621
15,-36.133,-31.25,-23.438,-38.086
16,-43.457,-33.203,-25.391,-39.062
17,-38.086,-31.25,-25.391,-33.691
18,-22.461,-25.391,-22.461,-28.32
19,-18.066,-22.949,-26.367,-23.438
20,-26.855,-30.762,-24.414,-17.578
21,-27.344,-32.715,-25.391,-16.602
22,-9.766,-26.855,-28.809,-17.09
23,-7.812,-28.32,-26.367,-12.695
24,-19.043,-32.227,-27.344,-10.254
25,-22.949,-33.203,-28.32,-11.719
26,-19.531,-33.203,-25.879,-11.719
27,-18.066,-38.086,-23.926,-17.09
28,-21.484,-36.133,-21.484,-20.02
29,-29.785,-30.273,-21.484,-21.973
30,-33.203,-34.668,-24.414,-23.438
31,-21.973,-40.527,-26.367,-27.344
32,-22.949,-42.969,-25.879,-29.297
33,-31.25,-44.434,-24.902,-29.297
34,-26.855,-42.48,-23.926,-29.297
35,-13.672,-37.598,-20.508,-20.508
36,-13.672,-37.109,-20.02,-11.719
37,-29.297,-41.016,-20.996,-9.277
38,-34.18,-42.969,-22.461,-11.23
39,-24.902,-42.48,-23.438,-13.672
40,-18.555,-37.109,-25.879,-21.973
41,-23.926,-33.691,-30.273,-25.879
42,-29.297,-32.715,-34.668,-28.32
43,-15.625,-31.738,-31.738,-27.832
44,-6.836,-29.785,-30.762,-22.949
45,-17.09,-26.855,-34.668,-27.832
46,-24.414,-30.762,-28.809,-27.344
47,-25.879,-31.738,-21.484,-29.785
48,-21.484,-33.691,-24.414,-37.109
49,-28.32,-35.645,-25.391,-37.109
50,-48.34,-36.133,-23.438,-41.992
51,-42.48,-29.785,-23.926,-37.109
52,-29.785,-31.738,-26.367,-32.227
53,-39.551,-41.992,-27.344,-39.551
54,-53.711,-42.969,-26.855,-40.527
55,-58.594,-38.574,-27.344,-37.109
56,-47.363,-32.227,-24.902,-32.715
57,-43.945,-35.645,-25.391,-35.645
58,-56.152,-33.691,-26.367,-40.039
59,-46.875,-32.227,-21.484,-25.879
60,-25.879,-32.715,-22.949,-14.16
61,-12.207,-27.344,-23.926,-17.578
62,-15.137,-28.809,-18.066,-19.043
63,-24.414,-29.785,-20.996,-20.996
64,-21.973,-28.809,-24.902,-19.531
65,-11.719,-25.879,-22.949,-19.043
66,-9.766,-28.32,-20.508,-15.625
67,-20.02,-31.25,-20.508,-14.648
68,-18.555,-29.297,-21.484,-17.578
69,-12.207,-39.062,-22.461,-20.02
70,-16.602,-38.086,-22.949,-20.02
71,-30.762,-22.949,-24.414,-16.602
72,-36.621,-23.926,-28.32,-22.949
73,-29.785,-34.18,-29.297,-27.344
74,-27.832,-34.668,-24.902,-30.273
75,-33.203,-37.598,-20.996,-30.273
76,-39.062,-40.527,-22.461,-30.273
77,-31.25,-35.645,-23.926,-27.344
78,-21.484,-31.25,-27.344,-20.508
79,-22.949,-31.25,-24.414,-12.695
80,-29.297,-33.203,-18.555,-11.23
81,-26.855,-36.621,-20.996,-17.09
82,-12.207,-35.156,-23.438,-20.996
83,-12.695,-31.738,-26.367,-22.949
84,-23.438,-17.578,-26.855,-18.555
85,-10.254,-9.766,-17.578,-6.348
86,2.93,-29.785,-14.16,-9.766
87,-0.488,-42.48,-18.555,-18.066
88,-12.207,-36.133,-16.113,-15.625
89,-17.578,-36.133,-20.996,-16.602
90,-17.09,-41.016,-27.832,-20.996
91,-17.578,-35.645,-20.02,-21.973
92,-27.832,-34.18,-17.578,-27.832
93,-44.922,-37.598,-22.949,-37.109
94,-39.062,-36.621,-20.508,-35.645
95,-29.785,-33.203,-26.367,-35.645
96,-37.598,-35.156,-31.25,-35.645
97,-43.457,-35.156,-22.949,-29.297
98,-35.645,-33.691,-16.602,-20.996
99,-29.297,-36.133,-18.066,-22.949
100,-32.715,-39.062,-22.949,-23.926
101,-41.992,-41.504,-23.438,-25.391
102,-41.504,-40.527,-24.414,-28.32
103,-30.762,-40.527,-29.785,-33.203
104,-26.855,-34.18,-34.668,-38.574
105,-26.367,-23.926,-31.738,-24.902
106,-24.902,-30.762,-34.18,-18.066
107,-24.902,-38.086,-34.18,-29.297
108,-24.902,-40.527,-36.621,-39.062
109,-29.297,-41.992,-39.551,-35.645
110,-42.969,-30.762,-32.715,-31.738
111,-44.922,-32.715,-32.715,-32.715
112,-31.25,-43.945,-33.691,-30.762
113,-31.738,-41.992,-27.832,-27.832
114,-46.387,-44.922,-20.996,-32.715
115,-43.945,-48.34,-22.461,-38.086
