,TP9,AF7,AF8,TP10,Time
0,-8.789,-27.344,-6.348,-19.043,0.0
1,-12.695,-26.855,-6.836,-20.996,0.003999999957159162
2,-25.879,-27.344,-6.836,-16.113,0.008000000030733645
3,-29.785,-27.832,-9.766,-23.438,0.011999999987892807
4,-25.879,-32.715,-13.672,-32.715,0.015999999945051968
5,-33.691,-36.621,-6.348,-35.645,0.02000000001862645
6,-41.992,-33.203,2.93,-31.738,0.023999999975785613
7,-34.18,-22.949,-4.883,-20.02,0.028000000049360096
8,-14.648,-24.902,-12.695,-19.043,0.03200000000651926
9,-18.555,-15.137,-6.348,-16.602,0.03599999996367842
10,-37.598,31.25,-7.812,-23.438,0.03999999992083758
11,-41.504,50.781,-12.695,-24.414,0.043999999994412065
12,-28.809,47.852,-9.277,-11.23,0.045999999972991645
13,-7.812,51.758,-3.906,-6.836,0.04999999993015081
14,-4.395,45.898,-4.395,-5.371,0.05400000000372529
15,-12.695,32.227,-11.23,-4.883,0.05799999996088445
16,-25.879,25.879,-10.254,-2.93,0.06199999991804361
17,-11.23,21.484,-6.836,1.465,0.0659999999916181
18,10.742,19.531,-2.441,5.371,0.06999999994877726
19,11.23,21.973,3.418,6.836,0.07400000002235174
20,2.441,21.973,3.418,1.465,0.0779999999795109
21,3.906,12.695,0.0,0.0,0.08100000000558794
22,16.602,8.789,-5.371,-10.254,0.0849999999627471
23,16.602,5.371,-5.371,-17.578,0.08899999991990626
24,-5.371,-0.977,-7.324,-9.766,0.09199999994598329
25,-13.184,1.465,-9.277,-17.578,0.09599999990314245
26,-1.465,4.395,-7.324,-21.973,0.09999999997671694
27,-1.465,1.953,-9.766,-20.02,0.1039999999338761
28,-18.066,0.0,-5.859,-19.043,0.10799999989103526
29,-27.832,0.0,-1.465,-20.508,0.11199999996460974
30,-25.879,-0.977,-3.418,-25.391,0.1159999999217689
31,-16.113,0.977,-4.395,-23.926,0.11999999987892807
32,-23.926,-2.93,-4.395,-19.531,0.1229999999050051
33,-34.668,-7.324,-0.977,-15.625,0.12699999997857958
34,-18.555,-4.883,1.465,-17.09,0.13099999993573874
35,-4.395,0.0,6.836,-4.395,0.1349999998928979
36,-4.883,2.93,11.719,8.789,0.1369999999878928
37,-21.973,-2.441,8.301,6.348,0.14099999994505197
38,-21.973,-9.277,5.371,11.23,0.14499999990221113
39,-16.602,-10.254,0.977,18.555,0.1489999999757856
40,-22.949,-10.254,-0.977,17.578,0.15199999988544732
41,-22.949,-14.16,2.93,19.531,0.1559999999590218
42,-19.043,-17.578,2.441,15.625,0.15999999991618097
43,-13.672,-17.578,1.953,11.23,0.16399999998975545
44,-10.742,-15.137,3.906,13.672,0.1679999999469146
45,-24.414,-12.695,3.418,9.277,0.1720000000204891
46,-23.926,-8.301,7.324,6.836,0.1749999999301508
47,-13.184,-5.371,4.883,5.371,0.1790000000037253
48,-22.461,-4.883,6.348,1.953,0.181999999913387
49,-39.551,-10.254,12.207,-1.465,0.18499999993946403
50,-47.363,-16.602,13.672,-8.301,0.18900000001303852
51,-35.156,-7.812,12.695,-14.16,0.19299999997019768
52,-26.855,0.488,10.254,-24.414,0.19699999992735684
53,-43.945,-7.324,9.766,-40.039,0.20100000000093132
54,-50.293,-14.16,14.16,-32.227,0.20499999995809048
55,-30.273,-7.812,19.043,-14.16,0.20899999991524965
56,-20.508,-4.883,9.766,-15.137,0.21299999998882413
57,-24.902,-8.301,5.859,-18.555,0.2169999999459833
58,-27.832,-4.395,8.789,-12.207,0.21999999997206032
59,-18.066,-5.371,11.719,-5.859,0.2240000000456348
60,-2.93,-8.789,13.184,-10.254,0.2260000000242144
61,-3.418,-11.719,13.184,-12.695,0.22999999998137355
62,-10.742,-13.184,16.113,1.465,0.23400000005494803
63,-9.766,-13.184,16.113,6.836,0.2380000000121072
64,4.395,-12.207,14.16,-0.488,0.24100000003818423
65,12.695,-13.184,13.184,-0.977,0.2449999999953434
66,-0.977,-15.625,16.113,1.465,0.24899999995250255
67,-27.344,-16.602,18.066,-11.23,0.25300000002607703
68,-19.043,-18.555,14.16,-19.531,0.2569999999832362
69,-0.488,-19.531,19.531,-14.16,0.2610000000568107
70,-3.906,-16.113,21.973,-17.578,0.26500000001396984
71,-13.672,-12.695,13.184,-21.973,0.268999999971129
72,-15.625,-9.766,9.766,-23.926,0.2709999999497086
73,-18.066,-12.207,17.578,-27.832,0.27500000002328306
74,-37.109,-20.02,18.555,-34.668,0.2789999999804422
75,-47.363,-18.555,19.531,-33.691,0.2829999999376014
76,-33.691,-17.578,20.996,-34.18,0.28700000001117587
77,-10.254,-15.137,9.766,-28.32,0.29099999996833503
78,0.0,-9.766,8.789,-12.207,0.2949999999254942
79,-12.695,-13.184,23.438,-12.207,0.2989999999990687
80,-35.156,-17.578,20.996,-27.344,0.30299999995622784
