,TP9,AF7,AF8,TP10
0,-52.734,-29.785,-34.668,-56.152
1,-36.133,-33.203,-44.922,-45.898
2,-31.738,-26.367,-47.852,-43.945
3,-41.504,-20.508,-37.109,-45.41
4,-40.039,-20.508,-31.738,-37.598
5,-32.227,-24.414,-37.598,-35.156
6,-28.32,-25.391,-40.527,-33.691
7,-38.086,-21.973,-40.039,-31.738
8,-47.363,-26.367,-32.227,-33.691
9,-36.621,-28.809,-26.367,-30.273
10,-25.879,-25.879,-24.902,-27.832
11,-35.156,-28.809,-26.855,-37.109
12,-46.875,-29.785,-25.391,-41.992
13,-44.434,-26.367,-24.902,-39.062
14,-39.551,-26.367,-27.832,-34.18
15,-46.875,-22.949,-22.461,-37.109
16,-52.246,-20.02,-23.926,-39.551
17,-50.293,-24.414,-33.203,-42.48
18,-58.105,-28.809,-36.621,-44.922
19,-49.316,-24.414,-34.668,-41.016
20,-37.598,-21.973,-27.832,-46.875
21,-39.062,-25.879,-25.391,-45.41
22,-28.809,-25.391,-28.809,-37.598
23,-29.297,-27.344,-27.832,-41.016
24,-41.992,-24.902,-27.832,-48.34
25,-46.387,-23.926,-30.273,-51.27
26,-36.621,-25.391,-35.156,-44.434
27,-28.809,-25.879,-39.062,-43.457
28,-35.645,-27.832,-35.645,-47.852
29,-40.527,-22.461,-31.738,-45.41
30,-35.156,-19.043,-34.668,-40.039
31,-36.133,-22.949,-38.574,-39.551
32,-41.504,-26.855,-36.133,-44.922
33,-47.852,-28.809,-35.645,-44.434
34,-55.664,-29.297,-34.18,-38.086
35,-44.922,-26.367,-29.297,-30.273
36,-40.039,-27.832,-29.785,-29.785
37,-49.316,-29.785,-30.273,-38.086
38,-55.664,-24.902,-26.855,-46.387
39,-50.293,-24.414,-31.25,-46.875
40,-33.203,-22.949,-35.156,-43.945
41,-39.551,-18.555,-28.809,-41.504
42,-57.129,-23.438,-31.25,-46.875
43,-56.152,-31.25,-37.109,-52.246
44,-43.457,-29.297,-38.574,-51.27
45,-47.363,-29.297,-41.504,-50.293
46,-56.641,-32.227,-41.992,-53.223
47,-42.969,-31.738,-41.016,-49.316
48,-32.715,-27.832,-37.598,-40.039
49,-39.551,-29.785,-34.18,-37.598
50,-40.039,-31.738,-29.785,-37.598
51,-38.574,-26.855,-26.855,-46.387
52,-33.691,-25.391,-30.273,-51.27
53,-27.832,-26.367,-34.18,-42.48
54,-33.691,-21.484,-33.203,-45.898
55,-39.551,-20.02,-29.297,-50.781
56,-29.785,-23.926,-28.809,-45.898
57,-20.508,-24.902,-31.25,-43.457
58,-33.203,-27.832,-31.738,-46.387
59,-48.828,-27.344,-30.273,-42.48
60,-52.246,-26.367,-31.25,-36.621
61,-53.223,-31.25,-34.668,-35.645
62,-58.105,-33.691,-35.645,-39.551
63,-63.965,-35.645,-37.598,-48.34
64,-54.688,-32.227,-36.621,-59.57
65,-40.527,-21.973,-29.297,-53.711
66,-43.945,-18.066,-31.738,-48.34
67,-60.059,-23.926,-36.133,-56.641
68,-60.059,-23.926,-33.203,-47.852
69,-46.875,-20.996,-31.738,-37.109
70,-41.504,-22.461,-30.273,-38.574
71,-48.34,-23.438,-29.297,-34.18
72,-54.688,-24.414,-30.273,-34.18
73,-46.387,-29.785,-33.203,-34.668
74,-32.227,-28.809,-30.273,-33.691
75,-37.109,-19.531,-27.344,-28.809
76,-48.828,-22.949,-25.391,-24.902
77,-42.48,-27.344,-26.367,-28.32
78,-31.738,-24.902,-28.809,-23.926
79,-30.273,-26.367,-29.785,-24.414
80,-42.969,-27.832,-27.832,-29.785
81,-49.316,-30.762,-28.809,-29.297
82,-36.621,-30.762,-26.367,-32.715
83,-33.691,-24.414,-26.367,-32.227
84,-42.48,-24.902,-27.344,-31.738
85,-49.316,-27.344,-24.902,-33.203
86,-41.016,-25.391,-25.879,-33.203
87,-35.645,-27.832,-31.25,-35.156
88,-45.898,-29.785,-38.574,-41.016
89,-50.293,-27.344,-32.227,-44.922
90,-41.992,-24.902,-29.297,-43.457
91,-43.457,-25.879,-32.227,-43.457
92,-48.828,-29.785,-32.715,-47.363
93,-51.758,-32.227,-29.785,-50.293
94,-49.805,-30.273,-29.785,-48.34
95,-43.457,-31.738,-34.668,-45.41
96,-53.711,-32.715,-32.715,-47.852
97,-56.641,-30.762,-38.574,-54.199
98,-45.898,-30.762,-39.062,-52.246
99,-42.48,-33.203,-33.691,-41.992
100,-44.922,-29.297,-30.762,-36.621
101,-53.223,-25.391,-28.809,-38.574
102,-56.641,-26.855,-29.297,-37.598
103,-43.945,-26.855,-28.32,-29.785
104,-36.133,-27.832,-32.715,-28.809
105,-44.434,-31.738,-35.156,-37.598
106,-54.688,-32.227,-36.621,-42.48
107,-45.41,-32.715,-33.691,-39.062
108,-33.203,-31.25,-27.344,-32.715
109,-38.574,-22.949,-25.879,-29.297
110,-48.34,-22.949,-28.809,-32.715
111,-49.316,-27.344,-36.133,-41.992
112,-35.645,-23.438,-36.133,-40.039
113,-35.156,-23.926,-29.297,-43.457
114,-47.363,-23.438,-26.367,-49.316
115,-41.992,-18.555,-30.762,-40.527
116,-35.156,-23.926,-30.762,-35.156
117,-36.133,-30.273,-32.715,-30.762
118,-44.922,-31.738,-37.598,-35.645
119,-52.734,-28.809,-39.551,-45.898
120,-44.434,-27.832,-38.574,-40.527
121,-34.18,-30.273,-31.25,-34.18
122,-45.898,-32.715,-33.691,-38.086
123,-52.734,-32.227,-38.574,-45.898
124,-44.434,-30.762,-33.203,-47.363
