timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp (Base),Secondary Timestamp (Remainder)
1627883071.986,-35.156,-27.344,-34.668,-32.715,1028256.938,0.021
1627883071.990,-33.203,-27.832,-35.156,-31.250,1028256.938,0.025
1627883071.994,-38.086,-24.902,-35.156,-33.203,1028256.938,0.029
1627883071.998,-47.363,-27.344,-35.645,-35.156,1028257.000,-0.030
1627883072.002,-33.203,-26.855,-32.715,-26.855,1028257.000,-0.026
1627883072.006,-21.484,-29.297,-31.250,-27.344,1028257.000,-0.022
1627883072.009,-28.809,-26.367,-31.738,-29.785,1028257.000,-0.018
1627883072.013,-35.156,-24.414,-30.762,-20.508,1028257.000,-0.014
1627883072.017,-35.645,-30.273,-29.785,-20.508,1028257.000,-0.010
1627883072.021,-29.785,-25.391,-32.227,-24.414,1028257.000,-0.006
1627883072.025,-31.738,-21.973,-31.250,-31.250,1028257.000,-0.002
1627883072.029,-35.645,-26.367,-32.227,-38.086,1028257.000,0.002
1627883072.031,-27.344,-26.855,-31.738,-38.574,1028257.000,0.004
1627883072.035,-20.996,-28.809,-33.203,-43.457,1028257.000,0.008
1627883072.039,-20.020,-29.785,-33.203,-45.898,1028257.000,0.011
1627883072.043,-19.043,-24.414,-29.785,-42.480,1028257.000,0.015
1627883072.047,-14.648,-24.414,-35.156,-44.434,1028257.000,0.019
1627883072.051,-17.090,-26.855,-41.504,-46.875,1028257.000,0.023
1627883072.054,-26.855,-26.367,-35.156,-42.480,1028257.000,0.027
1627883072.058,-34.668,-28.809,-29.785,-39.062,1028257.000,0.031
1627883072.062,-41.016,-30.762,-33.691,-36.621,1028257.062,-0.028
1627883072.066,-40.039,-36.133,-37.109,-32.227,1028257.062,-0.024
1627883072.070,-33.203,-38.086,-35.645,-37.109,1028257.062,-0.020
1627883072.074,-41.016,-30.762,-34.180,-41.016,1028257.062,-0.016
1627883072.076,-46.387,-29.785,-33.691,-40.527,1028257.062,-0.000
1627883072.080,-36.133,-28.809,-32.227,-37.109,1028257.062,0.004
1627883072.084,-24.902,-26.855,-30.762,-34.180,1028257.062,0.008
1627883072.088,-33.203,-30.273,-34.668,-43.945,1028257.062,0.012
1627883072.092,-41.992,-31.738,-42.480,-53.223,1028257.062,0.016
1627883072.096,-38.086,-29.785,-37.598,-47.852,1028257.062,0.019
1627883072.099,-37.598,-28.320,-31.738,-36.621,1028257.062,0.023
1627883072.103,-39.551,-26.855,-35.645,-36.133,1028257.062,0.027
1627883072.107,-46.875,-26.367,-31.738,-40.039,1028257.062,0.031
1627883072.111,-46.387,-30.273,-26.367,-40.039,1028257.125,-0.027
1627883072.115,-35.645,-32.715,-26.855,-38.086,1028257.125,-0.024
1627883072.119,-34.180,-32.715,-25.391,-34.668,1028257.125,-0.020
