timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp (Base),Secondary Timestamp (Remainder)
1627878497.575,-19.531,-33.203,-38.574,-13.184,1023682.562,-0.000
1627878497.579,-21.484,-32.227,-39.062,-26.855,1023682.562,0.003
1627878497.583,-35.156,-28.320,-36.621,-54.199,1023682.562,0.007
1627878497.587,-28.320,-28.320,-36.133,-46.875,1023682.562,0.011
1627878497.591,-14.648,-27.344,-33.203,-28.809,1023682.562,0.015
1627878497.595,-22.461,-21.973,-29.297,-27.832,1023682.562,0.019
1627878497.599,-50.781,-27.344,-32.227,-41.504,1023682.562,0.023
1627878497.602,-54.199,-35.645,-33.691,-41.504,1023682.562,0.027
1627878497.606,-41.992,-35.645,-36.133,-23.926,1023682.562,0.031
1627878497.610,-38.574,-36.621,-38.086,-16.113,1023682.625,-0.028
1627878497.614,-43.945,-35.645,-34.668,-41.016,1023682.625,-0.024
1627878497.618,-47.852,-33.691,-34.668,-56.641,1023682.625,-0.020
1627878497.635,-40.039,-31.738,-39.551,-39.062,1023682.625,-0.018
1627878497.639,-27.344,-26.855,-41.992,-19.531,1023682.625,-0.014
1627878497.643,-37.109,-23.438,-41.992,-34.668,1023682.625,-0.010
1627878497.647,-50.781,-20.996,-40.039,-56.152,1023682.625,-0.006
1627878497.651,-36.621,-22.461,-34.668,-36.133,1023682.625,-0.002
1627878497.655,-24.414,-25.391,-35.645,-8.301,1023682.625,0.002
1627878497.659,-33.203,-27.832,-36.133,-21.973,1023682.625,0.006
1627878497.662,-44.434,-31.738,-33.691,-47.852,1023682.625,0.010
1627878497.666,-36.133,-30.762,-29.297,-36.133,1023682.625,0.013
1627878497.670,-22.461,-32.227,-25.391,-6.348,1023682.625,0.017
1627878497.674,-26.855,-31.738,-27.344,-7.324,1023682.625,0.021
1627878497.678,-48.340,-27.832,-27.344,-33.691,1023682.625,0.025
1627878497.680,-51.270,-30.762,-27.832,-35.156,1023682.625,0.027
1627878497.684,-38.086,-32.715,-31.250,-10.742,1023682.625,0.031
1627878497.688,-42.480,-31.250,-30.762,-6.836,1023682.688,-0.028
1627878497.692,-52.246,-32.227,-31.250,-34.668,1023682.688,-0.024
1627878497.696,-52.246,-35.645,-36.621,-45.898,1023682.688,-0.020
1627878497.700,-44.434,-31.738,-34.180,-28.320,1023682.688,-0.016
1627878497.704,-28.809,-26.855,-27.344,-4.395,1023682.688,-0.012
1627878497.707,-37.109,-26.367,-26.855,-26.855,1023682.688,-0.008
1627878497.711,-47.852,-29.297,-29.297,-57.129,1023682.688,-0.004
1627878497.715,-34.668,-26.855,-31.738,-40.527,1023682.688,-0.000
1627878497.719,-20.508,-23.926,-32.715,-21.973,1023682.688,0.004
1627878497.723,-30.273,-25.391,-34.668,-29.297,1023682.688,0.008
1627878497.725,-44.434,-20.508,-36.133,-53.711,1023682.688,0.010
1627878497.729,-37.109,-20.996,-34.180,-49.316,1023682.688,0.014
1627878497.733,-25.391,-24.414,-33.691,-24.902,1023682.688,0.017
1627878497.737,-24.414,-21.484,-28.320,-20.020,1023682.688,0.021
1627878497.741,-37.598,-21.973,-26.367,-41.504,1023682.688,0.025
1627878497.745,-44.434,-24.902,-33.691,-51.270,1023682.688,0.029
1627878497.749,-33.691,-26.367,-36.621,-30.762,1023682.750,-0.029
1627878497.752,-25.879,-25.879,-35.645,-18.066,1023682.750,-0.026
1627878497.756,-40.527,-25.879,-37.598,-37.598,1023682.750,-0.022
1627878497.760,-48.340,-26.855,-38.574,-51.758,1023682.750,-0.018
1627878497.764,-34.180,-28.809,-37.109,-35.156,1023682.750,-0.014
1627878497.768,-28.320,-31.738,-31.738,-13.184,1023682.750,-0.010
1627878497.769,-35.156,-30.273,-30.273,-27.344,1023682.750,-0.008
1627878497.773,-41.992,-30.273,-32.715,-50.293,1023682.750,-0.004
1627878497.777,-37.598,-31.250,-32.227,-41.992,1023682.750,-0.000
1627878497.781,-22.949,-25.879,-33.691,-21.973,1023682.750,0.004
1627878497.785,-24.902,-24.902,-31.250,-22.949,1023682.750,0.008
1627878497.789,-40.527,-31.738,-29.785,-45.410,1023682.750,0.012
1627878497.793,-36.621,-33.203,-33.203,-42.480,1023682.750,0.016
1627878497.796,-23.438,-31.738,-29.297,-15.625,1023682.750,0.019
1627878497.800,-22.949,-32.227,-26.855,-10.254,1023682.750,0.023
1627878497.804,-41.504,-34.180,-31.250,-38.086,1023682.750,0.027
1627878497.808,-47.852,-36.621,-28.809,-51.270,1023682.750,0.031
1627878497.812,-26.855,-34.180,-25.879,-33.203,1023682.812,-0.027
1627878497.815,-10.742,-29.297,-20.996,-14.648,1023682.812,-0.025
1627878497.819,-31.738,-27.832,-17.090,-36.133,1023682.812,-0.021
1627878497.823,-45.410,-30.273,-18.555,-51.270,1023682.812,-0.018
1627878497.827,-29.297,-31.738,-22.949,-32.227,1023682.812,-0.014
1627878497.831,-15.137,-32.715,-21.484,-11.719,1023682.812,-0.010
1627878497.835,-28.320,-27.832,-17.090,-28.809,1023682.812,-0.006
1627878497.839,-42.969,-23.926,-23.438,-53.711,1023682.812,-0.002
1627878497.842,-25.879,-23.438,-30.273,-32.227,1023682.812,0.002
1627878497.846,-20.508,-31.250,-26.855,-14.160,1023682.812,0.006
1627878497.850,-41.504,-38.086,-21.484,-34.668,1023682.812,0.010
1627878497.854,-54.199,-38.086,-25.879,-58.105,1023682.812,0.014
1627878497.858,-53.223,-36.621,-26.367,-53.223,1023682.812,0.018
1627878497.859,-39.551,-35.645,-22.461,-35.156,1023682.812,0.020
1627878497.863,-34.668,-38.574,-27.344,-25.879,1023682.812,0.024
1627878497.867,-51.758,-41.504,-27.832,-48.340,1023682.812,0.028
1627878497.871,-52.734,-38.574,-23.926,-55.664,1023682.875,-0.031
1627878497.875,-41.016,-36.621,-25.391,-29.785,1023682.875,-0.027
1627878497.879,-34.180,-35.645,-28.809,-14.648,1023682.875,-0.023
1627878497.883,-47.852,-33.691,-27.344,-37.109,1023682.875,-0.019
1627878497.886,-55.664,-33.203,-30.273,-58.594,1023682.875,-0.015
1627878497.890,-40.527,-27.832,-29.297,-32.227,1023682.875,-0.011
1627878497.894,-29.297,-24.414,-26.367,-10.742,1023682.875,-0.007
1627878497.898,-37.598,-26.855,-32.227,-27.344,1023682.875,-0.003
1627878497.902,-51.270,-26.367,-33.691,-44.922,1023682.875,0.001
1627878497.905,-43.945,-25.391,-31.250,-32.715,1023682.875,0.016
1627878497.909,-33.203,-31.250,-30.273,-13.672,1023682.875,0.020
1627878497.913,-37.109,-35.645,-28.320,-18.555,1023682.875,0.024
1627878497.917,-49.316,-35.645,-26.367,-37.598,1023682.875,0.028
1627878497.921,-55.176,-35.645,-30.273,-44.434,1023682.938,-0.031
1627878497.925,-44.922,-32.227,-31.250,-21.973,1023682.938,-0.027
1627878497.929,-32.715,-25.391,-30.762,-8.301,1023682.938,-0.023
1627878497.932,-45.898,-24.902,-35.645,-38.086,1023682.938,-0.019
1627878497.936,-54.199,-33.203,-33.691,-48.340,1023682.938,-0.015
1627878497.940,-35.645,-34.668,-33.691,-32.227,1023682.938,-0.012
1627878497.944,-27.344,-30.273,-37.109,-24.414,1023682.938,-0.008
1627878497.948,-38.574,-31.250,-34.668,-38.574,1023682.938,-0.004
1627878497.949,-46.875,-31.738,-31.738,-48.828,1023682.938,-0.001
1627878497.953,-38.086,-34.180,-30.762,-28.809,1023682.938,0.003
