timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp (Base),Secondary Timestamp (Remainder)
1627882605.993,-25.391,-29.785,-26.367,-29.785,1027791.000,-0.021
1627882605.997,-27.344,-29.785,-24.902,-34.180,1027791.000,-0.017
1627882606.001,-23.926,-26.367,-24.414,-33.203,1027791.000,-0.013
1627882606.005,-27.832,-26.855,-32.227,-43.457,1027791.000,-0.009
1627882606.009,-34.668,-29.297,-36.133,-46.387,1027791.000,-0.006
1627882606.013,-37.109,-32.227,-28.809,-38.574,1027791.000,-0.002
1627882606.017,-24.414,-38.086,-26.367,-22.461,1027791.000,0.002
1627882606.020,-5.371,-27.832,-30.273,-17.090,1027791.000,0.006
1627882606.024,-23.926,-14.160,-32.715,-44.434,1027791.000,0.010
1627882606.028,-46.387,-18.066,-28.320,-59.082,1027791.000,0.014
1627882606.032,-42.480,-25.391,-27.344,-48.828,1027791.000,0.018
1627882606.036,-35.156,-24.414,-33.203,-44.922,1027791.000,0.022
1627882606.038,-27.832,-22.461,-31.250,-37.109,1027791.000,0.026
1627882606.042,-48.828,-21.973,-33.203,-46.387,1027791.000,0.030
1627882606.046,-49.805,-21.973,-38.574,-46.387,1027791.062,-0.029
1627882606.050,-28.320,-20.996,-33.691,-36.133,1027791.062,-0.025
1627882606.054,-40.039,-23.926,-30.273,-43.457,1027791.062,-0.021
1627882606.058,-46.387,-31.250,-31.738,-36.133,1027791.062,-0.017
1627882606.062,-42.480,-28.320,-31.250,-27.344,1027791.062,-0.013
1627882606.065,-33.203,-26.367,-34.180,-24.414,1027791.062,-0.009
1627882606.069,-26.367,-29.785,-36.621,-25.879,1027791.062,-0.005
1627882606.073,-44.434,-27.344,-32.227,-30.273,1027791.062,-0.001
1627882606.077,-49.316,-24.414,-30.762,-28.809,1027791.062,0.003
1627882606.081,-35.156,-22.949,-37.598,-34.668,1027791.062,0.006
1627882606.098,-32.227,-20.020,-38.086,-33.691,1027791.062,0.008
1627882606.102,-37.109,-21.973,-33.691,-28.809,1027791.062,0.012
1627882606.106,-45.898,-23.438,-35.156,-29.785,1027791.062,0.016
1627882606.110,-41.504,-20.508,-35.156,-30.273,1027791.062,0.020
1627882606.114,-29.785,-19.531,-29.297,-24.902,1027791.062,0.024
1627882606.118,-40.527,-23.926,-30.762,-25.391,1027791.062,0.028
