timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp (Base),Secondary Timestamp (Remainder)
1627612621.364,-175.781,-77.637,-56.152,-180.176,757785.000,-0.030
1627612621.368,-170.898,-74.707,-60.547,-167.480,757785.000,-0.026
1627612621.372,-150.391,-76.172,-54.199,-150.879,757785.000,-0.022
1627612621.376,-137.207,-81.543,-49.316,-140.137,757785.000,-0.018
1627612621.380,-135.254,-89.844,-48.340,-123.047,757785.000,-0.014
1627612621.384,-129.395,-95.703,-47.363,-108.887,757785.000,-0.010
1627612621.388,-125.977,-89.844,-46.875,-101.074,757785.000,-0.006
1627612621.391,-105.469,-83.496,-47.852,-93.262,757785.000,-0.002
1627612621.395,-81.543,-80.566,-49.805,-82.031,757785.000,0.002
1627612621.399,-69.336,-83.008,-40.527,-61.523,757785.000,0.006
1627612621.403,-57.617,-90.332,-32.227,-47.852,757785.000,0.009
1627612621.407,-37.598,-90.332,-37.598,-35.645,757785.000,0.013
1627612621.407,-37.598,-90.332,-37.598,-35.645,757785.000,0.013
1627612621.409,-16.602,-90.332,-41.016,-16.602,757785.000,0.002
1627612621.413,-6.836,-95.703,-42.480,-6.836,757785.000,0.005
1627612621.417,-1.953,-93.262,-46.387,-4.883,757785.000,0.009
1627612621.421,10.254,-90.820,-41.016,3.906,757785.000,0.013
1627612621.425,23.926,-86.914,-34.180,15.625,757785.000,0.017
1627612621.429,28.320,-80.078,-36.621,20.508,757785.000,0.021
1627612621.433,29.297,-71.777,-37.109,26.855,757785.000,0.025
1627612621.436,39.062,-59.082,-35.156,33.691,757785.000,0.029
1627612621.440,48.828,-55.176,-39.062,44.922,757785.062,-0.030
1627612621.444,55.664,-53.223,-40.527,53.223,757785.062,-0.026
1627612621.448,55.664,-41.992,-35.645,54.688,757785.062,-0.022
1627612621.452,57.129,-39.551,-33.691,57.129,757785.062,-0.018
1627612621.454,62.988,-45.410,-36.133,57.129,757785.062,-0.016
1627612621.458,55.664,-42.969,-37.109,59.570,757785.062,-0.012
1627612621.462,56.641,-36.133,-32.715,65.430,757785.062,-0.008
1627612621.466,59.082,-37.109,-35.645,62.500,757785.062,-0.004
1627612621.470,60.059,-40.039,-32.715,56.641,757785.062,-0.000
1627612621.474,62.500,-41.992,-22.461,61.035,757785.062,0.004
1627612621.478,60.059,-38.574,-21.484,65.918,757785.062,0.007
1627612621.481,56.641,-32.227,-27.344,61.523,757785.062,0.011
1627612621.485,61.035,-35.645,-36.133,61.035,757785.062,0.015
1627612621.489,63.965,-30.762,-36.133,59.082,757785.062,0.019
1627612621.493,62.500,-18.066,-31.738,51.758,757785.062,0.023
1627612621.497,58.594,-17.578,-34.180,48.340,757785.062,0.027
1627612621.513,55.176,-15.137,-29.785,45.898,757785.125,-0.018
1627612621.517,48.340,-13.184,-30.762,42.480,757785.125,-0.014
1627612621.521,46.875,-5.371,-37.109,34.668,757785.125,-0.010
1627612621.525,42.969,7.812,-41.504,26.855,757785.125,-0.006
1627612621.529,36.621,10.742,-38.086,25.879,757785.125,-0.002
1627612621.533,37.598,7.812,-32.715,23.438,757785.125,0.002
1627612621.537,37.598,12.207,-34.180,20.996,757785.125,0.005
1627612621.540,33.203,18.555,-39.062,28.320,757785.125,0.009
1627612621.544,21.973,11.719,-39.062,28.809,757785.125,0.013
1627612621.548,14.648,-4.883,-35.156,21.484,757785.125,0.017
1627612621.552,16.113,-24.902,-40.527,19.531,757785.125,0.021
1627612621.556,20.508,-31.738,-43.457,13.184,757785.125,0.025
1627612621.544,15.137,-36.133,-38.086,6.836,757785.125,0.012
1627612621.548,12.207,-40.527,-33.203,9.766,757785.125,0.016
1627612621.552,19.531,-39.551,-30.762,17.578,757785.125,0.019
1627612621.556,25.879,-32.227,-25.879,21.484,757785.125,0.023
1627612621.560,25.391,-33.203,-25.391,21.484,757785.125,0.027
1627612621.564,22.949,-42.969,-32.227,13.672,757785.125,0.031
1627612621.568,25.391,-47.363,-39.062,3.906,757785.188,-0.027
1627612621.571,20.996,-57.617,-36.133,0.977,757785.188,-0.024
1627612621.575,20.996,-68.848,-29.785,1.953,757785.188,-0.020
1627612621.579,19.531,-79.102,-28.809,6.836,757785.188,-0.016
1627612621.583,10.742,-77.148,-33.691,10.742,757785.188,-0.012
1627612621.587,-0.488,-62.988,-35.645,15.625,757785.188,-0.008
1627612621.589,-6.836,-32.227,-30.273,15.137,757785.188,-0.006
1627612621.593,-11.230,-3.906,-32.715,0.977,757785.188,-0.002
1627612621.597,-14.160,5.371,-40.039,-6.348,757785.188,0.002
1627612621.601,-14.648,13.184,-41.504,-13.184,757785.188,0.006
1627612621.605,-21.973,13.672,-40.527,-19.531,757785.188,0.010
1627612621.609,-24.902,7.812,-40.039,-19.531,757785.188,0.014
1627612621.613,-15.137,-9.277,-42.969,-18.066,757785.188,0.018
1627612621.616,-19.531,-22.949,-45.898,-15.137,757785.188,0.021
1627612621.620,-22.949,-1.953,-40.039,-10.742,757785.188,0.025
1627612621.624,-16.113,18.555,-38.086,-10.742,757785.188,0.029
1627612621.628,-20.508,17.578,-41.016,-16.113,757785.250,-0.029
1627612621.632,-21.484,2.930,-42.969,-19.043,757785.250,-0.025
1627612621.634,-18.066,2.441,-43.945,-16.113,757785.250,-0.010
1627612621.638,-21.484,12.207,-41.992,-19.043,757785.250,-0.006
1627612621.642,-25.391,10.254,-42.480,-23.438,757785.250,-0.002
1627612621.646,-21.973,16.113,-40.527,-18.555,757785.250,0.002
1627612621.650,-19.531,17.090,-42.480,-18.555,757785.250,0.006
1627612621.654,-24.902,4.395,-54.199,-24.902,757785.250,0.010
1627612621.658,-20.020,-1.953,-52.734,-18.066,757785.250,0.014
1627612621.661,-15.625,4.883,-41.016,-10.742,757785.250,0.017
1627612621.665,-17.578,7.812,-36.133,-22.461,757785.250,0.021
1627612621.669,-23.438,-10.742,-41.504,-34.180,757785.250,0.025
1627612621.673,-25.391,-22.461,-43.457,-39.062,757785.250,0.029
1627612621.677,-21.484,-23.438,-32.227,-40.527,757785.312,-0.029
1627612621.678,-24.902,-23.926,-30.273,-38.574,757785.312,-0.027
1627612621.682,-28.320,-22.461,-38.574,-37.109,757785.312,-0.023
1627612621.686,-32.227,-18.555,-40.527,-38.086,757785.312,-0.019
1627612621.690,-31.738,-12.695,-36.621,-36.621,757785.312,-0.015
1627612621.694,-26.367,-17.578,-39.062,-37.598,757785.312,-0.011
1627612621.698,-31.250,-26.367,-44.434,-35.156,757785.312,-0.007
1627612621.702,-36.621,-28.809,-41.504,-37.109,757785.312,-0.003
1627612621.705,-33.203,-31.250,-42.969,-48.828,757785.312,0.001
1627612621.709,-32.227,-33.203,-42.969,-48.828,757785.312,0.005
1627612621.713,-34.668,-44.434,-39.062,-38.574,757785.312,0.009
1627612621.717,-28.809,-60.547,-34.668,-27.832,757785.312,0.013
1627612621.721,-30.273,-54.199,-35.156,-27.832,757785.312,0.016
1627612621.738,-32.227,-49.805,-40.527,-26.367,757785.312,0.020
1627612621.742,-28.320,-44.922,-43.457,-24.414,757785.312,0.024
1627612621.746,-29.785,-31.738,-46.875,-33.203,757785.312,0.027
1627612621.750,-29.297,-22.949,-43.945,-32.227,757785.375,-0.031
1627612621.754,-28.320,-22.949,-41.992,-29.785,757785.375,-0.027
1627612621.758,-26.367,-22.461,-42.480,-33.203,757785.375,-0.023
1627612621.762,-32.715,-19.531,-39.062,-33.203,757785.375,-0.019
1627612621.765,-41.016,-17.578,-40.039,-34.180,757785.375,-0.016
1627612621.769,-34.180,-13.184,-46.875,-37.598,757785.375,-0.012
1627612621.773,-32.227,-12.207,-44.922,-38.086,757785.375,-0.008
1627612621.777,-37.109,-16.113,-37.109,-36.621,757785.375,-0.004
1627612621.781,-36.133,-18.555,-35.645,-34.180,757785.375,0.000
1627612621.784,-30.273,-37.109,-37.598,-31.738,757785.375,0.002
1627612621.788,-28.320,-72.266,-37.598,-27.832,757785.375,0.006
1627612621.792,-32.227,-91.797,-38.086,-29.785,757785.375,0.010
1627612621.796,-28.320,-77.148,-34.180,-27.344,757785.375,0.013
1627612621.800,-28.320,-56.641,-31.738,-25.879,757785.375,0.017
1627612621.804,-31.738,-48.340,-38.086,-31.250,757785.375,0.021
1627612621.808,-23.926,-51.270,-38.574,-30.273,757785.375,0.025
1627612621.811,-24.414,-53.223,-38.574,-28.809,757785.375,0.029
1627612621.815,-27.344,-47.363,-42.969,-27.832,757785.438,-0.030
1627612621.819,-21.973,-39.062,-41.016,-24.902,757785.438,-0.026
1627612621.823,-24.902,-34.180,-37.598,-30.762,757785.438,-0.022
1627612621.827,-31.738,-39.551,-41.504,-34.668,757785.438,-0.018
1627612621.829,-44.922,-50.293,-44.434,-37.109,757785.438,-0.016
1627612621.833,-50.293,-65.918,-48.340,-44.434,757785.438,-0.012
1627612621.837,-43.945,-70.801,-44.434,-40.527,757785.438,-0.008
1627612621.841,-36.133,-71.289,-41.016,-37.109,757785.438,-0.004
1627612621.845,-40.527,-85.449,-45.898,-39.062,757785.438,-0.000
1627612621.849,-43.457,-102.051,-50.293,-42.969,757785.438,0.004
1627612621.853,-25.391,-96.191,-48.340,-37.598,757785.438,0.008
1627612621.856,-26.855,-84.473,-43.457,-32.715,757785.438,0.011
1627612621.860,-41.504,-85.938,-47.852,-27.832,757785.438,0.015
1627612621.864,-43.945,-68.848,-44.922,-29.297,757785.438,0.019
1627612621.868,-42.969,-55.176,-40.527,-38.574,757785.438,0.023
1627612621.872,-34.180,-57.129,-44.434,-35.645,757785.438,0.027
1627612621.874,-30.273,-47.363,-46.387,-33.203,757785.438,0.030
1627612621.878,-34.180,-42.480,-47.852,-34.668,757785.500,-0.029
1627612621.882,-34.668,-47.852,-48.340,-34.668,757785.500,-0.025
1627612621.886,-29.785,-52.246,-47.852,-29.297,757785.500,-0.021
1627612621.890,-30.273,-50.781,-52.246,-28.320,757785.500,-0.017
1627612621.894,-32.715,-42.480,-51.270,-32.715,757785.500,-0.013
1627612621.898,-38.086,-44.434,-48.340,-33.691,757785.500,-0.009
1627612621.901,-44.922,-71.289,-49.805,-34.180,757785.500,-0.006
1627612621.905,-35.645,-80.078,-43.945,-24.414,757785.500,-0.002
1627612621.909,-26.855,-45.898,-34.668,-20.996,757785.500,0.002
1627612621.913,-33.691,-25.879,-39.062,-35.156,757785.500,0.006
1627612621.917,-41.992,-26.367,-42.969,-40.527,757785.500,0.010
