timestamps,TP9,AF7,AF8,TP10,Secondary Timestamp (Base),Secondary Timestamp (Remainder)
1627685199.169,969.238,-995.605,-1000.000,970.215,830376.750,0.024
1627685199.173,969.238,-1000.000,-990.723,969.727,830376.750,0.028
1627685199.177,969.727,-968.262,-894.531,969.727,830376.812,-0.031
1627685199.181,969.238,-808.105,-782.715,969.727,830376.812,-0.027
1627685199.185,969.238,-635.254,-655.273,969.727,830376.812,-0.023
1627685199.189,969.727,-611.328,-510.254,969.727,830376.812,-0.019
1627685199.193,969.238,-635.742,-427.734,969.727,830376.812,-0.015
1627685199.196,969.238,-535.156,-296.875,969.727,830376.812,-0.011
1627685199.200,969.238,-414.062,-117.188,969.727,830376.812,-0.008
1627685199.204,969.238,-332.520,9.277,970.215,830376.812,-0.004
1627685199.208,969.238,-251.953,85.938,969.727,830376.812,0.000
1627685199.212,969.238,-235.352,75.195,969.727,830376.812,0.004
1627685199.213,969.238,-370.117,-40.527,967.285,830376.812,-0.003
1627685199.217,969.238,-483.887,-92.773,969.727,830376.812,0.001
1627685199.221,969.238,-550.293,-82.520,980.957,830376.812,0.005
1627685199.225,969.238,-594.238,-110.840,873.535,830376.812,0.009
1627685199.229,969.238,-553.711,-127.930,899.902,830376.812,0.013
1627685199.233,968.750,-546.387,-133.789,987.793,830376.812,0.017
1627685199.237,969.238,-482.422,-76.660,963.867,830376.812,0.020
1627685199.240,969.238,-361.816,16.602,970.703,830376.812,0.024
1627685199.244,969.238,-268.066,41.992,969.727,830376.812,0.028
1627685199.248,969.238,-220.215,21.484,969.727,830376.875,-0.030
1627685199.252,969.238,-286.133,36.621,969.727,830376.875,-0.026
1627685199.256,969.238,-315.918,56.152,969.727,830376.875,-0.022
1627685199.258,969.238,-207.031,121.582,969.727,830376.875,-0.021
1627685199.262,969.238,-149.902,190.918,969.727,830376.875,-0.017
1627685199.266,969.238,-176.270,227.051,969.727,830376.875,-0.013
1627685199.270,969.238,-76.172,354.492,969.727,830376.875,-0.009
1627685199.274,969.238,4.883,469.727,969.727,830376.875,-0.005
1627685199.278,969.238,27.832,521.973,969.727,830376.875,-0.001
1627685199.282,969.238,167.480,604.492,969.727,830376.875,0.003
1627685199.285,969.238,257.812,645.996,969.727,830376.875,0.006
1627685199.289,969.238,232.910,678.223,969.727,830376.875,0.010
1627685199.293,969.238,293.457,725.098,969.727,830376.875,0.014
1627685199.297,969.238,340.332,758.301,969.727,830376.875,0.018
1627685199.301,969.238,385.254,801.758,969.727,830376.875,0.022
1627685199.304,969.238,475.586,825.684,969.727,830376.875,0.025
1627685199.308,969.238,508.789,833.008,969.727,830376.875,0.029
1627685199.312,969.238,576.172,846.191,969.727,830376.938,-0.030
1627685199.316,969.238,654.785,912.598,969.727,830376.938,-0.026
1627685199.320,969.238,661.621,970.703,969.727,830376.938,-0.022
1627685199.324,969.238,677.734,969.238,969.727,830376.938,-0.018
1627685199.328,969.238,750.000,968.750,969.727,830376.938,-0.014
1627685199.331,969.238,718.750,970.215,969.727,830376.938,-0.011
1627685199.335,969.238,733.398,969.727,969.727,830376.938,-0.007
1627685199.339,969.238,793.945,969.727,969.727,830376.938,-0.003
1627685199.343,969.238,813.965,969.727,969.727,830376.938,0.001
1627685199.347,969.238,810.059,969.727,974.609,830376.938,0.005
1627685199.349,970.703,802.246,970.215,902.832,830376.938,0.007
1627685199.353,966.797,792.480,969.727,-893.066,830376.938,0.011
1627685199.357,930.176,712.402,969.727,278.320,830376.938,0.015
1627685199.361,-970.703,677.734,970.215,-1000.000,830376.938,0.019
1627685199.365,406.738,688.477,970.215,-999.512,830376.938,0.023
1627685199.369,-766.113,588.867,970.215,-965.820,830376.938,0.026
1627685199.373,-1000.000,625.488,970.215,-1000.000,830376.938,0.030
1627685199.376,-968.262,812.988,970.215,-1000.000,830377.000,-0.028
1627685199.380,-1000.000,895.996,970.215,-1000.000,830377.000,-0.024
1627685199.384,-1000.000,912.109,970.215,-1000.000,830377.000,-0.020
1627685199.388,-1000.000,953.613,970.215,-1000.000,830377.000,-0.017
1627685199.392,-1000.000,974.609,970.215,-1000.000,830377.000,-0.013
1627685199.393,-1000.000,967.773,970.215,-1000.000,830377.000,0.003
1627685199.397,-1000.000,970.215,969.727,-1000.000,830377.000,0.007
1627685199.401,-1000.000,970.215,970.215,-1000.000,830377.000,0.011
1627685199.405,-1000.000,970.215,970.215,-1000.000,830377.000,0.015
1627685199.409,-1000.000,970.215,969.727,-1000.000,830377.000,0.019
1627685199.413,-1000.000,970.215,970.215,-1000.000,830377.000,0.023
1627685199.417,-1000.000,970.215,970.215,-1000.000,830377.000,0.026
1627685199.420,-1000.000,970.215,970.215,-1000.000,830377.000,0.030
1627685199.424,-1000.000,970.215,970.215,-1000.000,830377.062,-0.028
1627685199.428,-1000.000,970.215,970.215,-1000.000,830377.062,-0.024
1627685199.432,-1000.000,970.215,970.215,-1000.000,830377.062,-0.020
1627685199.436,-1000.000,970.215,970.215,-1000.000,830377.062,-0.017
1627685199.453,-989.258,970.215,970.215,-1000.000,830377.062,-0.013
1627685199.457,-957.520,970.215,970.215,-1000.000,830377.062,-0.009
1627685199.461,-1000.000,970.215,970.215,-1000.000,830377.062,-0.005
1627685199.465,-41.992,970.215,970.215,-1000.000,830377.062,-0.001
1627685199.469,-928.711,970.215,968.750,-1000.000,830377.062,0.002
1627685199.473,933.105,970.215,971.680,-1000.000,830377.062,0.006
1627685199.477,954.590,970.215,959.961,-1000.000,830377.062,0.010
1627685199.480,973.145,970.215,934.570,-1000.000,830377.062,0.014
1627685199.484,969.238,969.727,914.062,-1000.000,830377.062,0.018
1627685199.488,969.238,970.215,883.789,-1000.000,830377.062,0.022
1627685199.492,969.238,970.215,874.512,-1000.000,830377.062,0.026
1627685199.496,969.727,970.215,877.441,-1000.000,830377.062,0.030
1627685199.499,969.238,970.215,862.305,-1000.000,830377.125,-0.031
1627685199.503,969.238,974.121,836.426,-1000.000,830377.125,-0.027
1627685199.507,969.238,955.078,816.895,-937.500,830377.125,-0.023
1627685199.511,969.238,937.012,794.922,-1000.000,830377.125,-0.019
1627685199.515,969.238,-953.613,772.461,-219.727,830377.125,-0.015
1627685199.519,969.238,-34.668,753.906,-958.984,830377.125,-0.011
1627685199.523,969.238,-1000.000,718.750,953.613,830377.125,-0.007
1627685199.526,969.238,-961.914,678.711,942.383,830377.125,-0.003
1627685199.530,969.238,-954.590,659.668,976.562,830377.125,0.000
1627685199.534,969.238,-1000.000,660.645,970.215,830377.125,0.004
1627685199.538,969.238,-459.473,706.543,969.727,830377.125,0.008
1627685199.542,968.750,53.223,766.602,969.727,830377.125,0.012
1627685199.543,969.238,67.871,798.340,970.215,830377.125,0.014
1627685199.547,969.238,846.191,812.988,969.727,830377.125,0.018
1627685199.551,968.750,-984.375,821.289,969.727,830377.125,0.022
1627685199.555,969.238,935.547,814.941,969.727,830377.125,0.026
1627685199.559,969.238,977.539,792.480,969.727,830377.125,0.030
1627685199.563,969.238,969.727,764.648,969.727,830377.188,-0.029
1627685199.567,969.238,969.727,729.980,969.727,830377.188,-0.025
1627685199.570,969.238,969.727,698.242,969.727,830377.188,-0.021
1627685199.574,969.238,969.727,682.617,969.727,830377.188,-0.017
1627685199.578,968.750,969.727,664.551,969.727,830377.188,-0.013
